"id","sd","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"USC00360867",67,41.95,-78.65,457.2,"PA","BRADFORD CNTRL FS","","","PRCP",1910,2008
"USC00360868",79.1,41.8981,-78.7144,506,"PA","BRADFORD 4SW RSCH 5","","","TMAX",1941,2023
"USC00361139",47.2,40.8414,-79.9164,304.8,"PA","BUTLER 2 SW","","","TMAX",1967,2020
"USC00361212",48.3,41.6517,-76.8464,347.5,"PA","CANTON","","","TMAX",1976,2023
"USC00361480",66.8,41.0489,-77.9411,423.7,"PA","CLARENCE","","","TOBS",1965,2019
"USC00361751",59.25,41.3558,-79.2172,442,"PA","COOKSBURG 2 NW","","","PRCP",1994,2023
"USC00361833",62.7,41.7375,-77.1158,531.9,"PA","COVINGTON 2 WSW","","","PRCP",1956,2023
"USC00362470",61.2,40.4681,-78.7308,591.3,"PA","EBENSBURG SEWAGE PLT","","","TMAX",1964,2023
"USC00362629",56.9,41.5067,-78.2275,317,"PA","EMPORIUM","","","TMAX",1969,2008
"USC00363028",44.4,41.4003,-79.8306,309.4,"PA","FRANKLIN","","HCN","TMAX",1897,2023
"USC00363130",64.9,41.7356,-77.6517,410,"PA","GALETON","","","PRCP",1931,2023
"USC00363311",67,41.5606,-78.5994,524.3,"PA","GLEN HAZEL 2 NE DAM","","","TMAX",1955,2023
"USC00363758",63.4,41.4764,-75.1653,271.3,"PA","HAWLEY 1 E","","","TMAX",1897,2017
"USC00364214",44.8,40.5972,-79.1186,335.9,"PA","INDIANA 3 SE","","","TMAX",1946,2023
"USC00364432",86.9,41.6769,-78.8036,533.4,"PA","KANE 1NNE","","","TMAX",1894,2023
"USC00364983",77.6666666666667,41.8667,-78.65,475.5,"PA","LEWIS RUN","","","PRCP",1969,2005
"USC00364992",27.5,40.5864,-77.5692,140.2,"PA","LEWISTOWN","","","TMAX",1938,2023
"USC00365109",31.9,41.1311,-77.4336,172.5,"PA","LOCK HAVEN SEWAGE PLT","","","TMAX",1973,2023
"USC00365344",58.8888888888889,40.8344,-76.1436,521.2,"PA","MAHANOY CITY 2 N","","","PRCP",1972,2023
"USC00365470",49.25,41.3914,-74.7172,139.9,"PA","MATAMORAS","","","TMAX",1955,2012
"USC00365790",49.125,40.8847,-77.475,341.4,"PA","MILLHEIM","","","PRCP",1949,2023
"USC00365915",78.7,41.8511,-75.8583,432.8,"PA","MONTROSE","","HCN","TMAX",1903,2009
"USC00366151",32.4,40.6142,-79.7192,231.6,"PA","NATRONA LOCK 4","","","TMAX",1977,2023
"USC00366649",68.7,41.9244,-78.0072,521.2,"PA","OSWAYO 1 ENE","","","PRCP",1991,2021
"USC00366681",27.5,40.3856,-75.5019,91.4,"PA","PALM 3 SE","","","PRCP",1941,2023
"USC00367103",57.5,41.8156,-78.2872,449.6,"PA","PORT ALLEGANY","","","TMAX",1969,2023
"USC00367229",44.4,40.9247,-79.2825,390.1,"PA","PUTNEYVILLE 2 SE DAM","","","TMAX",1943,2023
"USC00367409",42.3,41.33,-77.7381,201.2,"PA","RENOVO","","","TMAX",1896,2023
"USC00367477",57,41.4197,-78.7492,414.5,"PA","RIDGWAY","","HCN","TMAX",1913,2023
"USC00367727",51.9,41.7833,-76.1167,265.2,"PA","RUSHVILLE","","","PRCP",1949,2004
"USC00367730",62.1,41.8422,-77.4758,609.6,"PA","SABINSVILLE 3 SE","","","TOBS",1970,2011
"USC00367735",42.3,40.7819,-79.2375,353.6,"PA","SAGAMORE","","","TOBS",1974,2016
"USC00367931",36.7,40.7831,-76.8617,128,"PA","SELINSGROVE 2 S","","HCN","TMAX",1894,2023
"USC00368057",55.4,41.1831,-76.1489,208.8,"PA","SHICKSHINNY 3 N","","","PRCP",1971,2018
"USC00368145",45.8,41.3203,-78.0958,249.9,"PA","SINNEMAHONING","","","PRCP",1951,2012
"USC00368400",42,40.5711,-75.2781,262.1,"PA","SPRINGTOWN 1 NNE","","","TMAX",1991,2023
"USC00368449",43.7,40.7933,-77.8672,356.6,"PA","STATE COLLEGE","","HCN","TMAX",1893,2023
"USC00368469",52.7,41.4039,-78.0183,284.1,"PA","STEVENSON DAM","","","TMAX",1969,2023
"USC00368589",63.7,40.55,-78.9167,573,"PA","STRONGSTOWN","","","PRCP",1948,2007
"USC00368596",42.2222222222222,41.0147,-75.2072,143.6,"PA","E STROUDSBURG","","HCN","TMAX",1911,2023
"USC00368692",65.3,41.9478,-75.6047,277.4,"PA","SUSQUEHANNA","","","PRCP",1935,2023
"USC00368758",51.8,40.7947,-75.9753,281.9,"PA","TAMAQUA","","","PRCP",1940,2012
"USC00368868",48.2,41.8975,-77.1419,374.9,"PA","TIOGA HAMMOND DAM","","","TMAX",1973,2023
"USC00368873",61.7,41.4792,-79.4433,365.8,"PA","TIONESTA 2 SE LAKE","","","TMAX",1921,2023
"USC00368888",73.7,41.6311,-79.6931,371.9,"PA","TITUSVILLE WTR WKS","","","TMAX",1954,2023
"USC00368905",40.6,41.7511,-76.4431,231.6,"PA","TOWANDA 1 S","","HCN","TMAX",1894,2023
"USC00369022",42.4,40.6644,-78.2192,271.3,"PA","TYRONE","","","PRCP",1972,2023
"USC00369042",81.9,41.9003,-79.8611,378,"PA","UNION CITY FILTRATION PLT","","","PRCP",1950,2023
"USC00369298",62.2,41.8467,-79.1494,368.8,"PA","WARREN","","HCN","TMAX",1896,2023
"USC00369510",63.2,41.5764,-79.4106,410,"PA","WEST HICKORY 2","","","PRCP",1992,2012
"USC00369714",39.9,40.4667,-78.2,257.6,"PA","WILLIAMSBURG","","","TOBS",1971,2022
"USW00004725",70,42.1997,-75.9847,519.1,"NY","BINGHAMTON","","HCN 72515","TMAX",1951,2023
